timestamp,time_elapsed,model_type,model_timestamp,classes,imaging_date,tray,filename,conserved_identifier,USDA_number,CHUM_number_if_from_NCGR,other_name,PM,infected_threshold,healthy_threshold,sal_threshold,inf_gate,spor_th,leaf_mask_th,clear_patches,hyphal_patches,conidiophore_patches,sporulating_pct,discarded_patches,severity_rate_patch,Gradient_sr2,Gradient-SG_sr2,GradCAM_sr2
NA,0m 33s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,004-21399_R2,21399,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,540,31,17,2.891156462585034,28,8.16,NA,0.24,0.99
NA,0m 33s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,005-21399_R2,21399,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,702,2,0,0,5,0.28,NA,0.01,0.04
NA,0m 31s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,006-21399_R2,21399,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,630,7,1,0.1567398119122257,7,1.25,NA,0.04,0.16
NA,0m 42s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,007-W2021011-579_R2,W2021011-579,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,376,156,87,14.05492730210016,54,39.26,NA,1.18,4.59
NA,0m 37s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,008-W2021011-579_R2,W2021011-579,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,521,51,76,11.728395061728394,49,19.6,NA,0.57,2.2
NA,0m 34s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,009-W2021011-579_R2,W2021011-579,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,613,56,16,2.335766423357664,43,10.51,NA,0.31,1.19
NA,0m 32s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,010-W2021009-289_R2,W2021009-289,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,607,24,23,3.5168195718654434,45,7.19,NA,0.2,0.75
NA,0m 42s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,011-W2021009-289_R2,W2021009-289,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,394,94,166,25.382262996941897,54,39.76,NA,1.16,4.56
NA,0m 39s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,012-W2021009-289_R2,W2021009-289,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,374,210,32,5.194805194805195,56,39.29,NA,1.12,4.78
NA,0m 39s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,013-W2021011-633_R2,W2021011-633,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,495,94,89,13.126843657817108,46,26.99,NA,0.83,3.38
