filename,run_time,model_type,model_timestamp,epoch,rel_th,prob_th,min_area,step,batch_size,leaf_patch_min,pred_white_pixels,leaf_pixels,total_pixels,pct_infected_of_leaf,pct_infected_of_image,mask_path
166-W2021006-123_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,457183,32712134,45413508,1.3976,1.0067,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\166-W2021006-123_R1_leaf_pred.png
166-W2021006-146_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,3561446,36568448,45413508,9.7391,7.8423,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\166-W2021006-146_R1_leaf_pred.png
166-W2021006-146_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1113186,37198428,45413508,2.9926,2.4512,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\166-W2021006-146_R2_leaf_pred.png
171-W2021011-584_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,2637194,38582106,45413508,6.8353,5.8071,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\171-W2021011-584_R1_leaf_pred.png
171-W2021011-584_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,8270027,37844872,45413508,21.8524,18.2105,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\171-W2021011-584_R2_leaf_pred.png
172-W2021009-156_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,427872,30137120,45413508,1.4198,0.9422,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\172-W2021009-156_R2_leaf_pred.png
176-W2021009-256_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,402306,29717344,45413508,1.3538,0.8859,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\176-W2021009-256_R2_leaf_pred.png
177-W2021009-194_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,6557770,33689045,45413508,19.4656,14.4401,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\177-W2021009-194_R2_leaf_pred.png
177-W2021009-256_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,511300,35499332,45413508,1.4403,1.1259,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\177-W2021009-256_R1_leaf_pred.png
181-W2021009-251_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,689193,30547723,45413508,2.2561,1.5176,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\181-W2021009-251_R2_leaf_pred.png
181-W2021009-295_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1336021,37137746,45413508,3.5975,2.9419,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\181-W2021009-295_R2_leaf_pred.png
182-W2021009-251_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1008780,37764796,45413508,2.6712,2.2213,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\182-W2021009-251_R1_leaf_pred.png
184-W2021009-199_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1252546,31794451,45413508,3.9395,2.7581,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\184-W2021009-199_R1_leaf_pred.png
189-W2021009-257_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,10885668,36533841,45413508,29.7961,23.9701,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\189-W2021009-257_R2_leaf_pred.png
190-W2021010-449_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,2027223,38975968,45413508,5.2012,4.4639,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\190-W2021010-449_R1_leaf_pred.png
192-W2021010-449_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,4115140,34438146,45413508,11.9494,9.0615,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\192-W2021010-449_R2_leaf_pred.png
193-W2021010-415_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1450559,36328121,45413508,3.9929,3.1941,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\193-W2021010-415_R1_leaf_pred.png
194-W2021010-339_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,527793,34093880,45413508,1.5481,1.1622,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\194-W2021010-339_R2_leaf_pred.png
